Time_3	F_3:1	D_3:1	F_3:3	D_3:3	F_3:5	D_3:5	F_3:7	D_3:7	F_3:9	D_3:9	F_3:11	D_3:11	F_3:13	D_3:13
4437.1740737725	-2.53301767632365	-3.40960650429025	-11.5643730262559	5.01493813534703	-9.90039696721797	4.31766923583526	-8.32336269386457	3.70392794342015	-7.05539599636955	3.34510315896453	-6.29734516883565	2.99604137042256	-5.55455256806268	2.81362464701926
4442.47235083301	-2.51334799919277	-3.4216462679052	-11.70582366607	4.95846143884132	-9.98026073752398	4.27493813360319	-8.43248522774781	3.73133123246128	-7.10183718383046	3.33615721803984	-6.35666882986499	3.02951943166169	-5.58505051849303	2.86413370597321
4447.76937626582	-2.50845543667674	-3.39979023096759	-11.5628413514191	5.01098799467818	-9.94625023333801	4.22977866488335	-8.43639164059648	3.71613316795051	-7.09882736368086	3.33852026379609	-6.37362943923092	2.98874222280653	-5.55093803924179	2.85249264489811
4453.10352933872	-2.53831126447767	-3.41780897342999	-11.5360257414127	5.01752060718042	-9.90996247707371	4.23842535833389	-8.38150350497569	3.77145460943204	-7.10516128519935	3.33771817809856	-6.3380130657568	2.9936444245846	-5.63058255134043	2.82820300006907
4458.39607883524	-2.57477509137243	-3.43385722566978	-11.5888231228682	4.99480990078223	-9.9013809348502	4.24803783580631	-8.37607601352381	3.73094221090569	-7.09199394861621	3.33183170645489	-6.3332141251197	3.00476434639323	-5.58469682166511	2.76397241342986
4463.6938228067	-2.50402841251343	-3.42673180721965	-11.5233840016913	5.03859654618134	-9.90343731595649	4.27576410811152	-8.37675047839691	3.73633815355192	-7.16386600249103	3.34327467135521	-6.36144249880983	3.00643877472525	-5.52014902901507	2.86370896081224
4468.98186493479	-2.61566168256104	-3.44736883044203	-11.6538327702278	5.04088393467291	-9.96675725756668	4.27167640238522	-8.41593383000697	3.71979792171273	-7.08662482513096	3.33518581167857	-6.30656711887361	2.99081747766642	-5.45954149310725	2.81890928975945
4474.29113192763	-2.52343511581421	-3.43764969191869	-11.6485420912149	4.97731994258567	-9.9068803454792	4.28228613469624	-8.4282795272057	3.7292767057976	-7.11034634126332	3.33081636402879	-6.26613667398835	3.03135152898988	-5.58290696410355	2.82959652336314
4479.58603317663	-2.49122332129627	-3.43395654783728	-11.5682718666535	4.99075075589525	-9.97354614763017	4.27328901012356	-8.38469104961957	3.70955264643865	-7.09898356427498	3.33963965017949	-6.3143364962678	3.02443377514778	-5.56195827152029	2.82539880412417
4484.87184047978	-2.46724185999483	-3.435239017659	-11.6891556779187	5.02890222972795	-10.0706540453292	4.26647157349915	-8.3801900272211	3.72638761328235	-7.12528933084428	3.34498440705624	-6.3852739001689	2.99673930301077	-5.64279062395232	2.82633078720565
